index,value,Label,Projection 2019,2010 Census,denominator per 100k
1,CA,California,39512223,37253956,395.12223
2,TX,Texas,28995881,25145561,289.95881
3,FL,Florida,21477737,18801310,214.77737
4,NY,New York,19453561,19378102,194.53561
5,PA,Pennsylvania,12801989,12702379,128.01989
6,IL,Illinois,12671821,12830632,126.71821
7,OH,Ohio,11689100,11536504,116.891
8,GA,Georgia,10617423,9687653,106.17423
9,NC,North Carolina,10488084,9535483,104.88084
10,MI,Michigan,9986857,9883640,99.86857
11,NJ,New Jersey,8882190,8791894,88.8219
12,VA,Virginia,8535519,8001024,85.35519
13,WA,Washington,7614893,6724540,76.14893
14,AZ,Arizona,7278717,6392017,72.78717
15,MA,Massachusetts,6892503,6547629,68.92503
16,TN,Tennessee,6829174,6346105,68.29174
17,IN,Indiana,6732219,6483802,67.32219
18,MO,Missouri,6137428,5988927,61.37428
19,MD,Maryland,6045680,5773552,60.4568
20,WI,Wisconsin,5822434,5686986,58.22434
21,CO,Colorado,5758736,5029196,57.58736
22,MN,Minnesota,5639632,5303925,56.39632
23,SC,South Carolina,5148714,4625364,51.48714
24,AL,Alabama,4903185,4779736,49.03185
25,LA,Louisiana,4648794,4533372,46.48794
26,KY,Kentucky,4467673,4339367,44.67673
27,OR,Oregon,4217737,3831074,42.17737
28,OK,Oklahoma,3956971,3751351,39.56971
29,CT,Connecticut,3565287,3574097,35.65287
30,UT,Utah,3205958,2763885,32.05958
31,PR,Puerto Rico,3193694,3725789,31.93694
32,IA,Iowa,3155070,3046355,31.5507
33,NV,Nevada,3080156,2700551,30.80156
34,AR,Arkansas,3017804,2915918,30.17804
35,MS,Mississippi,2976149,2967297,29.76149
36,KS,Kansas,2913314,2853118,29.13314
37,NM,New Mexico,2096829,2059179,20.96829
38,NE,Nebraska,1934408,1826341,19.34408
39,WV,West Virginia,1792147,1852994,17.92147
40,ID,Idaho,1787065,1567582,17.87065
41,HI,Hawaii,1415872,1360301,14.15872
42,NH,New Hampshire,1359711,1316470,13.59711
43,ME,Maine,1344212,1328361,13.44212
44,MT,Montana,1068778,989415,10.68778
45,RI,Rhode Island,1059361,1052567,10.59361
46,DE,Delaware,973764,897934,9.73764
47,SD,South Dakota,884659,814180,8.84659
48,ND,North Dakota,762062,672591,7.62062
49,AK,Alaska,731545,710231,7.31545
50,DC,District of Columbia,705749,601723,7.05749
51,VT,Vermont,623989,625741,6.23989
52,WY,Wyoming,578759,563626,5.78759